LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[Ano];LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[Mês];LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[MonthNo];LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[Dia];[Vlr__Vendas_Diretas]
2023;setembro;9;1;273799,59
2023;setembro;9;4;161425,92
2023;setembro;9;5;320417,76
2023;setembro;9;6;278696,15
2023;setembro;9;8;213863,79
2023;setembro;9;11;133025,5
2023;setembro;9;12;294512,14
2023;setembro;9;13;360995,3
2023;setembro;9;14;29334,32
2023;setembro;9;15;381631,38
2023;setembro;9;18;253857,17
2023;setembro;9;19;523192,29
2023;setembro;9;21;32400,87
2023;setembro;9;22;234901,4
2023;setembro;9;25;195646,6
2023;setembro;9;26;280608,56
2023;setembro;9;27;306797,89
2023;setembro;9;28;5570,82
2023;setembro;9;29;277185,02
