Cidade[Estado];Marcas de Produtos[Marca];[CountCliente];[MinUF];[CountCidade2];[MinEstado];[CountUF]
Rio Grande do Sul;ZIN PÃO;739;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;;634;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;FAZENDA MINAS;525;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;INVITA;444;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;DITA MARMITA;188;RS;497;Rio Grande do Sul;497
São Paulo;ZIN PÃO;164;SP;645;São Paulo;645
São Paulo;;150;SP;645;São Paulo;645
Santa Catarina;ZIN PÃO;124;SC;296;Santa Catarina;296
Santa Catarina;FAZENDA MINAS;96;SC;296;Santa Catarina;296
São Paulo;FAZENDA MINAS;93;SP;645;São Paulo;645
São Paulo;DITA MARMITA;77;SP;645;São Paulo;645
Santa Catarina;INVITA;73;SC;296;Santa Catarina;296
São Paulo;INVITA;73;SP;645;São Paulo;645
Rio Grande do Sul;INVITA NATURALY;67;RS;497;Rio Grande do Sul;497
Paraná;INVITA;64;PR;399;Paraná;399
Paraná;FAZENDA MINAS;62;PR;399;Paraná;399
Santa Catarina;;57;SC;296;Santa Catarina;296
São Paulo;INVITA NATURALY;56;SP;645;São Paulo;645
Paraná;ZIN PÃO;52;PR;399;Paraná;399
Paraná;;32;PR;399;Paraná;399
Santa Catarina;INVITA NATURALY;30;SC;296;Santa Catarina;296
Santa Catarina;DITA MARMITA;28;SC;296;Santa Catarina;296
Paraná;DITA MARMITA;17;PR;399;Paraná;399
Paraná;INVITA NATURALY;13;PR;399;Paraná;399
Rio Grande do Sul;10DMINAS;10;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;SEVERO;3;RS;497;Rio Grande do Sul;497
Pernambuco;;2;PE;185;Pernambuco;185
Pernambuco;FAZENDA MINAS;2;PE;185;Pernambuco;185
Pernambuco;INVITA;2;PE;185;Pernambuco;185
Pernambuco;ZIN PÃO;2;PE;185;Pernambuco;185
Rio Grande do Sul;EXCELSIOR;2;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;GASPER ALIMENTOS;2;RS;497;Rio Grande do Sul;497
Santa Catarina;10DMINAS;2;SC;296;Santa Catarina;296
Paraná;10DMINAS;1;PR;399;Paraná;399
Rio de Janeiro;;1;RJ;92;Rio de Janeiro;92
Rio de Janeiro;FAZENDA MINAS;1;RJ;92;Rio de Janeiro;92
Rio de Janeiro;INVITA;1;RJ;92;Rio de Janeiro;92
Rio de Janeiro;ZIN PÃO;1;RJ;92;Rio de Janeiro;92
Rio Grande do Sul;BUONGUSTO;1;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;DEL FUEGO;1;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;TIN;1;RS;497;Rio Grande do Sul;497
Rio Grande do Sul;UNIDASUL;1;RS;497;Rio Grande do Sul;497
Santa Catarina;BURG;1;SC;296;Santa Catarina;296
